N,expected_E,expected_M
352,-1.9967,0.999162
353,-1.99671,0.999164
354,-1.99672,0.999167
355,-1.99673,0.999169
356,-1.99674,0.999171
357,-1.99669,0.99916
358,-1.99665,0.999148
359,-1.9966,0.999136
360,-1.99656,0.999125
361,-1.99651,0.999114
362,-1.99652,0.999116
363,-1.99653,0.999118
364,-1.99654,0.999121
365,-1.99655,0.999123
366,-1.99656,0.999126
367,-1.99657,0.999128
368,-1.99658,0.99913
369,-1.99659,0.999133
370,-1.99654,0.999122
371,-1.99655,0.999124
372,-1.99656,0.999126
373,-1.99657,0.999129
374,-1.99658,0.999131
375,-1.99659,0.999133
376,-1.9966,0.999136
377,-1.9966,0.999138
378,-1.99661,0.99914
379,-1.99662,0.999142
380,-1.99663,0.999145
381,-1.99664,0.999147
382,-1.99665,0.999149
383,-1.99666,0.999151
384,-1.99667,0.999154
385,-1.99668,0.999156
386,-1.99668,0.999158
387,-1.99669,0.99916
388,-1.9967,0.999162
389,-1.99671,0.999165
390,-1.99667,0.999154
391,-1.99662,0.999143
392,-1.99663,0.999145
393,-1.99664,0.999148
394,-1.99665,0.99915
395,-1.99666,0.999152
396,-1.99667,0.999154
397,-1.99668,0.999156
398,-1.99663,0.999146
399,-1.99664,0.999148
400,-1.99665,0.99915
401,-1.99666,0.999152
402,-1.99667,0.999154
403,-1.99667,0.999156
404,-1.99668,0.999158
405,-1.99669,0.99916
406,-1.9967,0.999163
407,-1.99671,0.999165
408,-1.99672,0.999167
409,-1.99667,0.999156
410,-1.99668,0.999159
411,-1.99669,0.999161
412,-1.9967,0.999163
413,-1.99671,0.999165
414,-1.99671,0.999167
415,-1.99672,0.999169
416,-1.99673,0.999171
417,-1.99669,0.999161
418,-1.99665,0.999151
419,-1.99661,0.999141
420,-1.99662,0.999143
421,-1.99663,0.999145
422,-1.99664,0.999147
423,-1.9966,0.999137
424,-1.99656,0.999127
425,-1.99649,0.999106
426,-1.99646,0.999096
427,-1.99646,0.999098
428,-1.99647,0.9991
429,-1.99648,0.999103
430,-1.99649,0.999105
431,-1.9965,0.999107
432,-1.99646,0.999097
433,-1.99647,0.999099
434,-1.99647,0.999101
435,-1.99648,0.999103
436,-1.99649,0.999106
437,-1.9965,0.999108
438,-1.99651,0.99911
439,-1.99651,0.999112
440,-1.99652,0.999114
441,-1.99653,0.999116
442,-1.99649,0.999106
443,-1.9965,0.999108
444,-1.99651,0.99911
445,-1.99652,0.999112
446,-1.99652,0.999114
447,-1.99653,0.999116
448,-1.99654,0.999118
449,-1.99655,0.99912
450,-1.99656,0.999122
451,-1.99656,0.999124
452,-1.99657,0.999126
453,-1.99658,0.999128
454,-1.99659,0.99913
455,-1.99655,0.999121
456,-1.99649,0.999101
457,-1.99641,0.999059
458,-1.99633,0.999017
459,-1.99634,0.99902
460,-1.99635,0.999022
461,-1.99636,0.999024
462,-1.99636,0.999026
463,-1.99637,0.999028
464,-1.99638,0.99903
465,-1.99634,0.999022
466,-1.99631,0.999013
467,-1.99627,0.999004
468,-1.99628,0.999006
469,-1.99629,0.999009
470,-1.9963,0.999011
471,-1.99631,0.999013
472,-1.99627,0.999004
473,-1.99628,0.999006
474,-1.99629,0.999008
475,-1.99629,0.999011
476,-1.9963,0.999013
477,-1.99631,0.999015
478,-1.99632,0.999017
479,-1.99633,0.999019
480,-1.99633,0.999021
481,-1.99634,0.999023
482,-1.99635,0.999025
483,-1.99636,0.999027
484,-1.99636,0.999029
485,-1.99637,0.999031
486,-1.99638,0.999033
487,-1.99634,0.999025
488,-1.99635,0.999027
489,-1.99636,0.999029
490,-1.99637,0.999031
491,-1.99637,0.999033
492,-1.99638,0.999035
493,-1.99639,0.999037
494,-1.9964,0.999038
495,-1.9964,0.99904
496,-1.99637,0.999032
497,-1.99634,0.999024
498,-1.99635,0.999026
499,-1.99635,0.999028
500,-1.99636,0.99903
501,-1.99637,0.999032
502,-1.99637,0.999034
503,-1.99638,0.999036
504,-1.99639,0.999038
505,-1.9964,0.99904
506,-1.9964,0.999042
507,-1.99641,0.999043
508,-1.99642,0.999045
509,-1.99642,0.999047
510,-1.99643,0.999049
511,-1.99644,0.999051
512,-1.99645,0.999053
513,-1.99645,0.999055
514,-1.99646,0.999056
515,-1.99647,0.999058
516,-1.99647,0.99906
517,-1.99648,0.999062
518,-1.99649,0.999064
519,-1.99649,0.999066
520,-1.9965,0.999067
521,-1.99651,0.999069
522,-1.99651,0.999071
523,-1.99652,0.999073
524,-1.99653,0.999074
525,-1.99653,0.999076
526,-1.99654,0.999078
527,-1.99655,0.99908
528,-1.99655,0.999081
529,-1.99656,0.999083
530,-1.99657,0.999085
531,-1.99653,0.999077
532,-1.9965,0.99907
533,-1.99651,0.999071
534,-1.99652,0.999073
535,-1.99652,0.999075
536,-1.99653,0.999076
537,-1.99654,0.999078
538,-1.99654,0.99908
539,-1.99655,0.999082
540,-1.99656,0.999083
541,-1.99656,0.999085
