N,expected_E,expected_M
339,-1.99693,0.999211
340,-1.99692,0.999211
341,-1.99692,0.999211
342,-1.99692,0.999209
343,-1.99692,0.999209
344,-1.99692,0.99921
345,-1.99693,0.999212
346,-1.99693,0.999213
347,-1.99693,0.999213
348,-1.99693,0.999211
349,-1.99692,0.99921
350,-1.99692,0.99921
351,-1.99692,0.999211
352,-1.99692,0.99921
353,-1.99691,0.999208
354,-1.99691,0.999207
355,-1.9969,0.999206
356,-1.9969,0.999205
357,-1.9969,0.999205
358,-1.9969,0.999206
359,-1.9969,0.999207
360,-1.99691,0.999207
361,-1.99691,0.999207
362,-1.9969,0.999207
363,-1.9969,0.999206
364,-1.9969,0.999204
365,-1.99689,0.999204
366,-1.99689,0.999204
367,-1.9969,0.999205
368,-1.9969,0.999207
369,-1.99691,0.999207
370,-1.9969,0.999207
371,-1.9969,0.999207
372,-1.99691,0.999208
373,-1.99691,0.999209
374,-1.99691,0.999209
375,-1.99691,0.999209
376,-1.99691,0.999209
377,-1.99692,0.99921
378,-1.99692,0.999211
379,-1.99693,0.999212
380,-1.99693,0.999213
381,-1.99693,0.999213
382,-1.99693,0.999214
383,-1.99693,0.999215
384,-1.99693,0.999214
385,-1.99693,0.999214
386,-1.99693,0.999212
387,-1.99693,0.999213
388,-1.99693,0.999214
389,-1.99694,0.999215
390,-1.99694,0.999216
391,-1.99694,0.999217
392,-1.99694,0.999217
393,-1.99695,0.999218
394,-1.99694,0.999217
395,-1.99695,0.999219
396,-1.99695,0.99922
397,-1.99696,0.999221
398,-1.99696,0.999221
399,-1.99696,0.999221
400,-1.99696,0.999221
401,-1.99695,0.99922
402,-1.99695,0.999219
403,-1.99695,0.99922
404,-1.99695,0.99922
405,-1.99696,0.999221
406,-1.99696,0.999221
407,-1.99695,0.99922
408,-1.99696,0.999221
409,-1.99696,0.999222
410,-1.99696,0.999221
411,-1.99696,0.999223
412,-1.99697,0.999224
413,-1.99697,0.999225
414,-1.99697,0.999225
415,-1.99697,0.999226
416,-1.99697,0.999225
417,-1.99697,0.999224
418,-1.99697,0.999223
419,-1.99697,0.999223
420,-1.99697,0.999224
421,-1.99697,0.999225
422,-1.99697,0.999225
423,-1.99697,0.999225
424,-1.99697,0.999225
425,-1.99698,0.999226
426,-1.99698,0.999226
427,-1.99698,0.999227
428,-1.99699,0.999228
429,-1.99699,0.999228
430,-1.99699,0.999229
431,-1.99699,0.99923
432,-1.997,0.999232
433,-1.997,0.999232
434,-1.997,0.999232
435,-1.997,0.999233
436,-1.997,0.999233
437,-1.99699,0.999231
438,-1.99699,0.99923
439,-1.997,0.999231
440,-1.997,0.999232
441,-1.997,0.999231
442,-1.99699,0.99923
443,-1.997,0.999231
444,-1.997,0.999232
445,-1.99699,0.999231
446,-1.997,0.999231
447,-1.997,0.999233
448,-1.99701,0.999234
449,-1.99701,0.999235
450,-1.99702,0.999236
451,-1.99701,0.999236
452,-1.99701,0.999235
453,-1.997,0.999234
454,-1.997,0.999233
455,-1.997,0.999233
456,-1.99701,0.999234
457,-1.997,0.999234
458,-1.99701,0.999235
459,-1.99701,0.999235
460,-1.99702,0.999237
461,-1.99702,0.999238
462,-1.99703,0.99924
463,-1.99703,0.999241
464,-1.99703,0.999241
465,-1.99703,0.999241
466,-1.99704,0.999242
467,-1.99703,0.999241
468,-1.99703,0.99924
469,-1.99702,0.999237
470,-1.99701,0.999235
471,-1.99701,0.999236
472,-1.99701,0.999236
473,-1.99701,0.999236
474,-1.99701,0.999235
475,-1.997,0.999234
476,-1.997,0.999232
477,-1.99699,0.99923
478,-1.997,0.999231
479,-1.99699,0.999231
480,-1.99699,0.999231
481,-1.99699,0.99923
482,-1.99699,0.99923
483,-1.997,0.999231
484,-1.997,0.999231
485,-1.997,0.999232
486,-1.997,0.999233
487,-1.99701,0.999234
488,-1.997,0.999234
489,-1.997,0.999233
490,-1.997,0.999233
491,-1.997,0.999233
492,-1.997,0.999233
493,-1.997,0.999234
494,-1.997,0.999234
495,-1.99701,0.999235
496,-1.99701,0.999236
497,-1.99702,0.999237
498,-1.99702,0.999238
499,-1.99702,0.999237
500,-1.99702,0.999238
501,-1.99702,0.999238
502,-1.99702,0.999238
503,-1.99702,0.999237
504,-1.99701,0.999237
505,-1.99701,0.999236
506,-1.99702,0.999238
507,-1.99702,0.999237
508,-1.99701,0.999237
509,-1.99701,0.999237
510,-1.99701,0.999236
511,-1.99701,0.999236
512,-1.99701,0.999235
513,-1.99701,0.999235
514,-1.99701,0.999235
515,-1.99701,0.999237
516,-1.99701,0.999237
