N,expected_E,expected_M
5807,-1.23446,0.447118
5808,-1.23447,0.447068
5809,-1.23444,0.447015
5810,-1.2344,0.446966
5811,-1.23439,0.446917
5812,-1.23436,0.446868
5813,-1.23434,0.446825
5814,-1.23434,0.446763
5815,-1.23435,0.446709
5816,-1.23434,0.446645
5817,-1.23433,0.446583
5818,-1.2343,0.446517
5819,-1.23427,0.446447
5820,-1.23423,0.446374
5821,-1.23422,0.446309
5822,-1.23421,0.446238
5823,-1.23421,0.446173
5824,-1.2342,0.446125
5825,-1.23419,0.446057
5826,-1.23419,0.445996
5827,-1.23418,0.445938
5828,-1.23417,0.445879
5829,-1.23419,0.445824
5830,-1.2342,0.445762
5831,-1.23422,0.445709
5832,-1.23423,0.445663
5833,-1.23424,0.445621
5834,-1.23425,0.445585
5835,-1.23426,0.445547
5836,-1.23424,0.445517
5837,-1.23422,0.445488
5838,-1.23418,0.445449
5839,-1.23417,0.445407
5840,-1.23416,0.445378
5841,-1.23417,0.445341
5842,-1.23415,0.445306
5843,-1.23415,0.445279
5844,-1.23414,0.445262
5845,-1.23414,0.44525
5846,-1.23416,0.445233
5847,-1.23417,0.445237
5848,-1.23418,0.445233
5849,-1.23417,0.445227
5850,-1.23415,0.445218
5851,-1.23414,0.445209
5852,-1.23415,0.4452
5853,-1.23415,0.445186
5854,-1.23415,0.445173
5855,-1.23415,0.445162
5856,-1.23414,0.445155
5857,-1.23415,0.445144
5858,-1.23414,0.445131
5859,-1.23417,0.445134
5860,-1.23418,0.445142
5861,-1.2342,0.445144
5862,-1.23419,0.445147
5863,-1.23421,0.445164
5864,-1.23423,0.445191
5865,-1.23423,0.445211
5866,-1.23424,0.445228
5867,-1.23423,0.445242
5868,-1.23423,0.445268
5869,-1.23423,0.445289
5870,-1.23424,0.445301
5871,-1.23422,0.445304
5872,-1.23422,0.445322
5873,-1.23422,0.445335
5874,-1.23422,0.445357
5875,-1.23423,0.44539
5876,-1.23423,0.445425
5877,-1.23424,0.445462
5878,-1.23424,0.445491
5879,-1.23425,0.445522
5880,-1.23426,0.445554
5881,-1.23427,0.445591
5882,-1.23429,0.445625
5883,-1.23432,0.445666
5884,-1.23437,0.445721
5885,-1.2344,0.445772
5886,-1.23444,0.445825
5887,-1.23447,0.44588
5888,-1.23453,0.445938
5889,-1.23456,0.445987
5890,-1.23458,0.446032
5891,-1.2346,0.44608
5892,-1.23462,0.446124
5893,-1.23463,0.446169
5894,-1.23464,0.446218
5895,-1.23465,0.446253
5896,-1.23465,0.446288
5897,-1.23467,0.446329
5898,-1.23471,0.446372
5899,-1.23474,0.446418
5900,-1.23476,0.446455
5901,-1.23478,0.446501
5902,-1.23479,0.446537
5903,-1.23479,0.446571
5904,-1.23479,0.446608
5905,-1.23478,0.446637
5906,-1.23476,0.44666
