N,expected_E,expected_M
663,-1.99789,0.999472
664,-1.99786,0.999465
665,-1.99786,0.999466
666,-1.99787,0.999467
667,-1.99787,0.999468
668,-1.99787,0.999469
669,-1.99788,0.999469
670,-1.99788,0.99947
671,-1.99788,0.999471
672,-1.99789,0.999472
673,-1.99789,0.999473
674,-1.99789,0.999473
675,-1.9979,0.999474
676,-1.9979,0.999475
677,-1.9979,0.999476
678,-1.99791,0.999476
679,-1.99788,0.99947
680,-1.99782,0.999456
681,-1.9978,0.999449
682,-1.99777,0.999443
683,-1.99777,0.999444
684,-1.99778,0.999444
685,-1.99778,0.999445
686,-1.99778,0.999446
687,-1.99776,0.99944
688,-1.99776,0.99944
689,-1.99776,0.999441
690,-1.99777,0.999442
691,-1.99777,0.999443
692,-1.99777,0.999444
693,-1.99778,0.999444
694,-1.99778,0.999445
695,-1.99778,0.999446
696,-1.99779,0.999447
697,-1.99779,0.999448
698,-1.99779,0.999448
699,-1.99777,0.999442
700,-1.99774,0.999436
701,-1.99772,0.999429
702,-1.99772,0.99943
703,-1.9977,0.999424
704,-1.9977,0.999425
705,-1.9977,0.999426
706,-1.99771,0.999426
707,-1.99771,0.999427
708,-1.99771,0.999428
709,-1.99772,0.999429
710,-1.99772,0.99943
711,-1.99772,0.99943
712,-1.99772,0.999431
713,-1.99773,0.999432
714,-1.99773,0.999433
715,-1.99773,0.999434
716,-1.99774,0.999434
717,-1.99774,0.999435
718,-1.99774,0.999436
719,-1.99775,0.999437
720,-1.99775,0.999438
721,-1.99775,0.999438
722,-1.99776,0.999439
723,-1.99776,0.99944
724,-1.99776,0.999441
725,-1.99777,0.999441
726,-1.99777,0.999442
727,-1.99777,0.999443
728,-1.99777,0.999444
729,-1.99778,0.999444
730,-1.99778,0.999445
731,-1.99778,0.999446
732,-1.99776,0.99944
733,-1.99776,0.999441
734,-1.99777,0.999441
735,-1.99777,0.999442
736,-1.99777,0.999443
737,-1.99777,0.999444
738,-1.99775,0.999438
739,-1.99775,0.999438
740,-1.99776,0.999439
741,-1.99776,0.99944
742,-1.99776,0.999441
743,-1.99777,0.999441
744,-1.99777,0.999442
745,-1.99777,0.999443
746,-1.99777,0.999444
747,-1.99778,0.999444
748,-1.99778,0.999445
749,-1.99778,0.999446
750,-1.99776,0.99944
751,-1.99776,0.999441
752,-1.99777,0.999441
753,-1.99777,0.999442
754,-1.99775,0.999436
755,-1.99775,0.999437
756,-1.99775,0.999438
757,-1.99775,0.999439
758,-1.99776,0.999439
759,-1.99776,0.99944
760,-1.99776,0.999441
761,-1.99777,0.999442
762,-1.99777,0.999442
763,-1.99777,0.999443
764,-1.99777,0.999444
765,-1.99778,0.999444
766,-1.99778,0.999445
767,-1.99778,0.999446
768,-1.99779,0.999447
769,-1.99779,0.999447
770,-1.99779,0.999448
771,-1.9978,0.999449
772,-1.9978,0.999449
773,-1.9978,0.99945
774,-1.99778,0.999444
775,-1.99778,0.999445
776,-1.99778,0.999446
777,-1.99779,0.999447
778,-1.99779,0.999447
779,-1.99779,0.999448
780,-1.99779,0.999449
781,-1.9978,0.999449
782,-1.9978,0.99945
783,-1.9978,0.999451
784,-1.99778,0.999445
785,-1.99778,0.999446
786,-1.99776,0.99944
787,-1.99774,0.999435
788,-1.99774,0.999435
789,-1.99774,0.999436
790,-1.99775,0.999437
791,-1.99775,0.999437
792,-1.99775,0.999438
793,-1.9977,0.999426
794,-1.99763,0.999408
795,-1.99764,0.999409
796,-1.99764,0.99941
797,-1.99764,0.99941
798,-1.99764,0.999411
799,-1.99765,0.999412
800,-1.99765,0.999413
801,-1.99765,0.999413
802,-1.99766,0.999414
803,-1.99766,0.999415
804,-1.99766,0.999415
805,-1.99766,0.999416
806,-1.99767,0.999417
807,-1.99767,0.999418
808,-1.99767,0.999418
809,-1.99768,0.999419
810,-1.99768,0.99942
811,-1.99768,0.99942
812,-1.99768,0.999421
813,-1.99769,0.999422
814,-1.99769,0.999423
815,-1.99769,0.999423
816,-1.9977,0.999424
817,-1.9977,0.999425
818,-1.9977,0.999425
819,-1.9977,0.999426
820,-1.99771,0.999427
821,-1.99771,0.999428
822,-1.99771,0.999428
823,-1.99769,0.999423
824,-1.99769,0.999424
825,-1.9977,0.999424
826,-1.9977,0.999425
827,-1.9977,0.999426
828,-1.99771,0.999426
829,-1.99771,0.999427
830,-1.99771,0.999428
831,-1.99771,0.999428
832,-1.99772,0.999429
833,-1.99772,0.99943
834,-1.99772,0.99943
835,-1.99772,0.999431
836,-1.99773,0.999432
837,-1.99773,0.999432
838,-1.99773,0.999433
839,-1.99774,0.999434
840,-1.99774,0.999435
841,-1.99774,0.999435
842,-1.99774,0.999436
843,-1.99775,0.999437
844,-1.99775,0.999437
845,-1.99775,0.999438
846,-1.99773,0.999433
847,-1.99771,0.999427
848,-1.99769,0.999422
849,-1.99767,0.999417
850,-1.99762,0.999406
851,-1.99758,0.999395
852,-1.99754,0.999384
853,-1.99751,0.999379
854,-1.99749,0.999374
855,-1.99747,0.999368
856,-1.99745,0.999363
857,-1.99743,0.999358
858,-1.99744,0.999359
859,-1.99739,0.999348
860,-1.99735,0.999337
861,-1.99735,0.999338
862,-1.99735,0.999339
863,-1.99736,0.99934
864,-1.99736,0.99934
865,-1.99736,0.999341
866,-1.99737,0.999342
867,-1.99737,0.999343
868,-1.99737,0.999343
869,-1.99735,0.999338
870,-1.99736,0.999339
871,-1.99734,0.999334
872,-1.99734,0.999335
873,-1.99734,0.999336
874,-1.99735,0.999336
875,-1.99735,0.999337
876,-1.99735,0.999338
877,-1.99735,0.999339
878,-1.99736,0.999339
879,-1.99736,0.99934
880,-1.99736,0.999341
881,-1.99737,0.999342
882,-1.99737,0.999342
883,-1.99737,0.999343
884,-1.99738,0.999344
